load_kg,tick,time_s,valid_repeats,cop_mean_m,cop_std_m,com_mean_m,com_std_m,trunk_mean_rad,trunk_std_rad
140,65,0.65,3,-0.08823145,0,-0.0607982166,0,-0.144737,0
140,66,0.66,3,-0.08791072,0,-0.05999152,0,-0.145764679,0
140,67,0.67,3,-0.0875783861,0,-0.059161067,0,-0.1467694,0
140,68,0.68,3,-0.08723482,7.450581E-09,-0.0583066233,3.7252903E-09,-0.147756711,0
140,69,0.69000000000000006,3,-0.08688292,0,-0.05742796,0,-0.148740381,0
140,70,0.70000000000000007,3,-0.0865229145,7.450581E-09,-0.05652486,0,-0.149702519,0
140,71,0.71,3,-0.08614252,7.450581E-09,-0.0555971526,0,-0.150657088,0
140,72,0.72,3,-0.085742496,0,-0.0546445437,3.7252903E-09,-0.151610762,0
140,73,0.73,3,-0.08533809,0,-0.0536667556,0,-0.152558967,0
140,74,0.74,3,-0.08492143,0,-0.0526635759,3.7252903E-09,-0.153507888,0
140,75,0.75,3,-0.0844883,0,-0.0516348071,0,-0.154451713,0
140,76,0.76,3,-0.08402938,0,-0.05058025,0,-0.155406684,0
140,77,0.77,3,-0.0835581645,7.450581E-09,-0.0494996123,3.7252903E-09,-0.156375021,0
140,78,0.78,3,-0.08307814,0,-0.0483925827,3.7252903E-09,-0.1573507,0
140,79,0.79,3,-0.082582,0,-0.0472588651,3.7252903E-09,-0.158347473,0
140,80,0.8,3,-0.0820744857,0,-0.0460980646,0,-0.159359679,0
140,81,0.81,3,-0.08155667,0,-0.044909846,3.7252903E-09,-0.160398692,0
140,82,0.82000000000000006,3,-0.08103176,0,-0.0436938,0,-0.161460817,0
140,83,0.83000000000000007,3,-0.08049678,0,-0.04244958,0,-0.1625482,0
140,84,0.84,3,-0.07995453,0,-0.0411767922,0,-0.163657814,0
140,85,0.85,3,-0.0793982,0,-0.03987503,0,-0.164799482,0
140,86,0.86,3,-0.07882898,0,-0.0385438539,0,-0.165980682,0
140,87,0.87,3,-0.07825052,0,-0.03718274,0,-0.167201832,0
140,88,0.88,3,-0.0776707754,0,-0.0357911661,0,-0.168458089,0
140,89,0.89,3,-0.0770772,0,-0.03436861,0,-0.16975145,1.49011612E-08
140,90,0.9,3,-0.07647125,0,-0.0329144821,0,-0.171083733,0
140,91,0.91,3,-0.07585524,0,-0.03142822,0,-0.1724652,0
140,92,0.92,3,-0.0752232447,0,-0.0299092177,1.86264515E-09,-0.173888028,0
140,93,0.93,3,-0.0745855048,0,-0.0283568669,0,-0.175350413,0
140,94,0.94000000000000006,3,-0.07393292,0,-0.0267705675,0,-0.176856175,0
140,95,0.95000000000000007,3,-0.07326333,0,-0.0251496937,0,-0.17840229,0
140,96,0.96,3,-0.07257896,0,-0.0234935787,0,-0.179993346,1.49011612E-08
140,97,0.97,3,-0.0718787238,0,-0.0218015146,0,-0.181633309,0
140,98,0.98,3,-0.07117129,0,-0.02007277,0,-0.183323637,0
140,99,0.99,3,-0.0704497844,0,-0.0183065832,0,-0.185055017,0
140,100,1,3,-0.06971092,0,-0.016502196,0,-0.186835364,0
140,101,1.01,3,-0.06895299,0,-0.0146588637,9.313226E-10,-0.188657209,0
140,102,1.02,3,-0.06817614,0,-0.0127758039,0,-0.190526083,1.49011612E-08
140,103,1.03,3,-0.06737923,0,-0.0108522289,0,-0.19243753,0
140,104,1.04,3,-0.0665593445,0,-0.008887342,0,-0.194394186,0
140,105,1.05,3,-0.0657212362,0,-0.00688033225,0,-0.196396068,1.49011612E-08
140,106,1.06,3,-0.06486645,0,-0.0048303674,0,-0.198449716,0
