tick,time,barY,standRefY,heightDeficit,barVelY,barSpeed,barAngSpeed,lKnee,rKnee,maxKnee,lHip,rHip,maxHip,trunk,completionRegion,linStill,angStill,kneesQ,hipsQ,trunkQ,physicalLockout,state,sq,demand,drive01
758,7.580000,1.371154,1.403096,0.031942,0.138967,0.144339,0.355351,0.641677,0.664650,0.664650,-0.539303,-0.551837,0.551837,0.190700,1,0,0,0,0,0,0,ASCENT,0.180997,0.239214,0.000000
759,7.590000,1.372477,1.403096,0.030620,0.135574,0.141029,0.357287,0.633175,0.656147,0.656147,-0.531345,-0.543853,0.543853,0.186884,1,0,0,0,0,0,0,ASCENT,0.177997,0.239413,0.000000
760,7.600000,1.373769,1.403096,0.029327,0.132914,0.138432,0.354613,0.624747,0.647737,0.647737,-0.523530,-0.536046,0.536046,0.183095,1,0,0,0,0,0,0,ASCENT,0.174997,0.239340,0.000000
761,7.610000,1.375029,1.403096,0.028067,0.129342,0.134956,0.357020,0.616381,0.639362,0.639362,-0.515739,-0.528228,0.528228,0.179289,1,0,0,0,0,0,0,ASCENT,0.171997,0.239523,0.000000
762,7.620000,1.376259,1.403096,0.026837,0.126804,0.132474,0.353721,0.608026,0.631017,0.631017,-0.508004,-0.520497,0.520497,0.175521,1,0,0,0,0,0,0,ASCENT,0.168997,0.239474,0.000000
763,7.630000,1.377464,1.403096,0.025632,0.124003,0.129756,0.354379,0.599740,0.622718,0.622718,-0.500329,-0.512798,0.512798,0.171754,1,0,0,0,0,1,0,ASCENT,0.165997,0.239584,0.000000
764,7.640000,1.378647,1.403096,0.024449,0.122154,0.127972,0.350757,0.591499,0.614475,0.614475,-0.492802,-0.505264,0.505264,0.168028,1,0,0,0,0,1,0,ASCENT,0.162997,0.239511,0.000000
765,7.650000,1.379807,1.403096,0.023289,0.119458,0.125381,0.352011,0.583263,0.606202,0.606202,-0.485203,-0.497623,0.497623,0.164296,1,0,0,0,0,1,0,ASCENT,0.159997,0.239752,0.000000
766,7.660000,1.380942,1.403096,0.022154,0.117343,0.123358,0.349136,0.575066,0.597991,0.597991,-0.477731,-0.490139,0.490139,0.160593,1,0,0,0,0,1,0,ASCENT,0.156997,0.239715,0.000000
767,7.670000,1.382048,1.403096,0.021048,0.114168,0.120321,0.350747,0.566926,0.589806,0.589806,-0.470273,-0.482638,0.482638,0.156880,1,0,0,0,0,1,0,ASCENT,0.153997,0.239928,0.000000
