tick,time,state,sq,knee_cmd_rate,knee_fd_rate,knee_rate_diff,knee_ref_accel,hip_cmd_rate,hip_fd_rate,hip_rate_diff,hip_ref_accel,ankle_nom_cmd_rate,ankle_nom_fd_rate,ankle_nom_diff
427,4.270,ASCENT,0.8080,-29.10,-28.81,0.30,-25.8,27.32,27.03,0.28,24.8,4.55,4.54,0.01
428,4.280,ASCENT,0.8050,-29.10,-29.11,0.00,-24.7,27.32,27.32,0.00,23.8,4.60,4.60,0.00
429,4.290,ASCENT,0.8020,-29.10,-29.11,0.00,-23.5,27.32,27.32,0.00,22.7,4.64,4.60,0.05
430,4.300,ASCENT,0.7990,-29.86,-29.36,0.50,-22.4,28.05,27.56,0.49,21.6,4.69,4.65,0.04
431,4.310,ASCENT,0.7960,-29.86,-29.86,0.00,-21.2,28.05,28.05,0.00,20.6,4.73,4.74,0.01
432,4.320,ASCENT,0.7930,-29.86,-29.86,0.00,-20.1,28.05,28.05,0.00,19.5,4.78,4.75,0.03
433,4.330,ASCENT,0.7900,-30.50,-29.86,0.63,-19.0,28.67,28.05,0.62,18.4,4.82,4.75,0.07
434,4.340,ASCENT,0.7870,-30.50,-30.50,0.00,-17.8,28.67,28.67,0.00,17.4,4.86,4.88,0.03
435,4.350,ASCENT,0.7840,-30.50,-30.50,0.00,-16.7,28.67,28.67,0.00,16.3,4.89,4.88,0.01
436,4.360,ASCENT,0.7810,-30.50,-30.50,0.00,-15.5,28.67,28.66,0.00,15.2,4.93,4.88,0.05
437,4.370,ASCENT,0.7780,-31.00,-30.83,0.17,-14.4,29.16,29.00,0.16,14.2,4.96,4.95,0.01
438,4.380,ASCENT,0.7750,-31.00,-31.00,0.00,-13.3,29.16,29.16,0.00,13.1,4.99,5.00,0.00
439,4.390,ASCENT,0.7720,-31.00,-31.00,0.00,-12.1,29.16,29.16,0.00,12.0,5.02,4.99,0.03
440,4.400,ASCENT,0.7690,-31.38,-31.13,0.25,-11.0,29.54,29.29,0.25,11.0,5.05,5.02,0.03
441,4.410,ASCENT,0.7660,-31.38,-31.38,0.00,-9.8,29.54,29.54,0.00,9.9,5.08,5.09,0.01
442,4.420,ASCENT,0.7630,-31.38,-31.38,0.00,-8.7,29.54,29.54,0.00,8.8,5.10,5.09,0.02
443,4.430,ASCENT,0.7600,-31.63,-31.38,0.25,-7.6,29.80,29.54,0.26,7.8,5.13,5.08,0.04
444,4.440,ASCENT,0.7570,-31.63,-31.63,0.00,-6.4,29.80,29.80,0.00,6.7,5.15,5.16,0.01
445,4.450,ASCENT,0.7540,-31.63,-31.63,0.00,-5.3,29.80,29.80,0.00,5.6,5.17,5.16,0.00
446,4.460,ASCENT,0.7510,-31.63,-31.63,0.00,-4.1,29.80,29.80,0.00,4.6,5.18,5.16,0.03
447,4.470,ASCENT,0.7480,-31.76,-31.71,0.04,-3.0,29.94,29.89,0.05,3.5,5.20,5.20,0.00
448,4.480,ASCENT,0.7450,-31.76,-31.76,0.00,-1.8,29.94,29.94,0.00,2.4,5.22,5.21,0.00
449,4.490,ASCENT,0.7420,-31.76,-31.76,0.00,-0.7,29.94,29.94,0.00,1.4,5.23,5.22,0.01
450,4.500,ASCENT,0.7390,-31.75,-31.75,0.00,0.4,29.96,29.95,0.01,0.3,5.24,5.22,0.01
451,4.510,ASCENT,0.7360,-31.75,-31.76,0.00,1.6,29.96,29.96,0.00,-0.8,5.25,5.25,0.00
452,4.520,ASCENT,0.7330,-31.75,-31.76,0.00,2.7,29.96,29.96,0.00,-1.8,5.26,5.25,0.01
453,4.530,ASCENT,0.7300,-31.63,-31.75,0.13,3.8,29.87,29.96,0.10,-2.9,5.26,5.25,0.01
454,4.540,ASCENT,0.7270,-31.63,-31.63,0.00,5.0,29.87,29.87,0.00,-4.0,5.27,5.27,0.01
455,4.550,ASCENT,0.7240,-31.63,-31.63,0.00,6.1,29.87,29.87,0.00,-5.0,5.27,5.27,0.00
456,4.560,ASCENT,0.7210,-31.63,-31.63,0.00,7.3,29.87,29.87,0.00,-6.1,5.27,5.26,0.01
457,4.570,ASCENT,0.7180,-31.37,-31.46,0.08,8.4,29.65,29.72,0.07,-7.2,5.27,5.27,0.00
