tick,hip_left_deg,hip_right_deg,physx_contact,physx_impulse,left_overlap,left_penetration_m,left_surface_gap_m,right_overlap,right_penetration_m,right_surface_gap_m,contact_offset_sum_m,hip_track_err_deg
70,18.56,18.78,0,0.000,0,0.00000,0.06149,0,0.00000,0.06343,0.0200,6.63
71,18.96,19.18,0,0.000,0,0.00000,0.06115,0,0.00000,0.06307,0.0200,6.60
72,19.36,19.59,0,0.000,0,0.00000,0.06081,0,0.00000,0.06273,0.0200,6.57
73,19.76,19.99,0,0.000,0,0.00000,0.06046,0,0.00000,0.06236,0.0200,6.54
74,20.17,20.40,0,0.000,0,0.00000,0.06011,0,0.00000,0.06201,0.0200,6.50
75,20.57,20.80,0,0.000,0,0.00000,0.05974,0,0.00000,0.06163,0.0200,6.47
76,20.97,21.21,0,0.000,0,0.00000,0.05938,0,0.00000,0.06126,0.0200,6.44
77,21.37,21.62,0,0.000,0,0.00000,0.05900,0,0.00000,0.06087,0.0200,6.41
78,21.78,22.02,0,0.000,0,0.00000,0.05863,0,0.00000,0.06049,0.0200,6.37
79,22.18,22.43,0,0.000,0,0.00000,0.05824,0,0.00000,0.06008,0.0200,6.34
80,22.58,22.84,0,0.000,0,0.00000,0.05786,0,0.00000,0.05969,0.0200,6.30
81,22.98,23.24,0,0.000,0,0.00000,0.05745,0,0.00000,0.05927,0.0200,6.26
82,23.39,23.65,0,0.000,0,0.00000,0.05706,0,0.00000,0.05887,0.0200,6.22
83,23.79,24.06,0,0.000,0,0.00000,0.05665,0,0.00000,0.05845,0.0200,6.20
84,24.19,24.46,0,0.000,0,0.00000,0.05625,0,0.00000,0.05804,0.0200,6.18
85,24.58,24.86,0,0.000,0,0.00000,0.05583,0,0.00000,0.05760,0.0200,6.16
86,24.98,25.26,0,0.000,0,0.00000,0.05543,0,0.00000,0.05719,0.0200,6.14
87,25.36,25.64,0,0.000,0,0.00000,0.05501,0,0.00000,0.05675,0.0200,6.16
88,25.75,26.04,0,0.000,0,0.00000,0.05460,0,0.00000,0.05633,0.0200,6.16
89,26.14,26.43,0,0.000,0,0.00000,0.05417,0,0.00000,0.05589,0.0200,6.17
90,26.52,26.81,0,0.000,0,0.00000,0.05376,0,0.00000,0.05547,0.0200,6.21
91,26.90,27.20,0,0.000,0,0.00000,0.05333,0,0.00000,0.05502,0.0200,6.25
92,27.29,27.59,0,0.000,0,0.00000,0.05290,0,0.00000,0.05458,0.0200,6.27
93,27.67,27.98,0,0.000,0,0.00000,0.05246,0,0.00000,0.05412,0.0200,6.31
94,28.06,28.37,0,0.000,0,0.00000,0.05203,0,0.00000,0.05368,0.0200,6.36
95,28.44,28.76,0,0.000,0,0.00000,0.05158,0,0.00000,0.05322,0.0200,6.41
96,28.84,29.15,0,0.000,0,0.00000,0.05115,0,0.00000,0.05277,0.0200,6.45
97,29.22,29.54,0,0.000,0,0.00000,0.05069,0,0.00000,0.05228,0.0200,6.52
98,29.62,29.94,0,0.000,0,0.00000,0.05023,0,0.00000,0.05181,0.0200,6.57
99,30.01,30.34,0,0.000,0,0.00000,0.04975,0,0.00000,0.05131,0.0200,6.62
100,30.41,30.74,0,0.000,0,0.00000,0.04929,0,0.00000,0.05083,0.0200,6.68
101,30.82,31.15,0,0.000,0,0.00000,0.04880,0,0.00000,0.05033,0.0200,6.75
102,31.23,31.56,0,0.000,0,0.00000,0.04832,0,0.00000,0.04983,0.0200,6.80
103,31.64,31.98,0,0.000,0,0.00000,0.04782,0,0.00000,0.04931,0.0200,6.86
104,32.05,32.39,0,0.000,0,0.00000,0.04732,0,0.00000,0.04880,0.0200,6.92
105,32.47,32.81,0,0.000,0,0.00000,0.04681,0,0.00000,0.04826,0.0200,6.98
106,32.90,33.24,0,0.000,0,0.00000,0.04630,0,0.00000,0.04773,0.0200,7.03
107,33.32,33.67,0,0.000,0,0.00000,0.04576,0,0.00000,0.04717,0.0200,7.10
108,33.75,34.10,0,0.000,0,0.00000,0.04523,0,0.00000,0.04662,0.0200,7.15
109,34.19,34.54,0,0.000,0,0.00000,0.04467,0,0.00000,0.04604,0.0200,7.20
110,34.63,34.99,0,0.000,0,0.00000,0.04412,0,0.00000,0.04548,0.0200,7.26
