case,step,time_s,bar_y,bar_z,bar_vy,bar_vz,pelvis_y,pelvis_z,pelvis_vy,pelvis_vz,thorax_y,thorax_z,trunk_pitch_deg,ke,saddle_sep,saddle_att,contacts,com_ap,cop_ap,abd_bias_deg,tho_bias_deg,abd_tgt_rate,tho_tgt_rate,abd_act_deg,tho_act_deg,abd_demand,tho_demand,ankle_bal_deg
R00,43,0.430,1.0172,-0.1887,-0.1060,-0.3090,0.9202,0.0961,-0.0660,-0.3652,1.1429,-0.0921,-40.19,15.8,0.0514,1,8,-0.0945,-0.0178,-0.80,0.19,0.0935,0.1402,-34.27,-24.64,0.1881,0.1560,-2.12
R00,44,0.440,1.0164,-0.1919,-0.0755,-0.3275,0.9195,0.0922,-0.0704,-0.3920,1.1422,-0.0960,-40.19,16.8,0.0511,1,8,-0.0972,-0.0189,-0.82,0.19,0.0935,0.1402,-34.23,-24.59,0.1914,0.1559,-2.74
R00,45,0.450,1.0159,-0.1953,-0.0431,-0.3479,0.9187,0.0883,-0.0748,-0.4047,1.1417,-0.0998,-40.14,17.6,0.0511,1,8,-0.1001,-0.0222,-0.83,0.20,0.0935,0.1402,-34.07,-24.57,0.1897,0.1568,-2.80
R00,46,0.460,1.0156,-0.1989,-0.0243,-0.3589,0.9182,0.0841,-0.0668,-0.4253,1.1412,-0.1036,-40.08,18.6,0.0511,1,8,-0.1031,-0.0242,-0.85,0.20,0.0919,0.1378,-33.93,-24.54,0.1910,0.1576,-3.30
R00,47,0.470,1.0155,-0.2026,-0.0040,-0.3782,0.9177,0.0799,-0.0559,-0.4356,1.1409,-0.1076,-40.02,19.9,0.0511,1,8,-0.1063,-0.0258,-0.87,0.21,0.0919,0.1378,-33.97,-24.44,0.2002,0.1563,-3.78
R00,48,0.480,1.0156,-0.2065,0.0177,-0.3943,0.9173,0.0755,-0.0494,-0.4499,1.1407,-0.1116,-39.94,21.0,0.0512,1,8,-0.1097,-0.0293,-0.89,0.21,0.0919,0.1378,-33.96,-24.35,0.2046,0.1563,-1.49
R00,49,0.490,1.0160,-0.2106,0.0382,-0.4082,0.9169,0.0709,-0.0389,-0.4682,1.1406,-0.1155,-39.82,22.3,0.0515,1,8,-0.1132,-0.0275,-0.91,0.22,0.0899,0.1349,-33.96,-24.25,0.2057,0.1570,0.00
R00,50,0.500,1.0166,-0.2148,0.0585,-0.4248,0.9166,0.0666,-0.0296,-0.4790,1.1407,-0.1199,-39.77,23.9,0.0512,1,8,-0.1168,-0.0259,-0.92,0.22,0.0899,0.1349,-33.94,-24.08,0.2066,0.1578,0.00
R00,51,0.510,1.0173,-0.2192,0.0776,-0.4392,0.9164,0.0619,-0.0176,-0.4970,1.1410,-0.1242,-39.66,25.4,0.0514,1,8,-0.1205,-0.0240,-0.94,0.22,0.0899,0.1349,-33.94,-23.93,0.2041,0.1567,0.00
R00,52,0.520,1.0183,-0.2237,0.0953,-0.4533,0.9166,0.0568,-0.0121,-0.5109,1.1412,-0.1285,-39.53,27.1,0.0516,1,8,-0.1243,-0.0260,-0.96,0.23,0.0899,0.1349,-33.88,-23.74,0.2077,0.1573,-2.29
R00,53,0.530,1.0194,-0.2283,0.1133,-0.4687,0.9163,0.0517,-0.0167,-0.5238,1.1417,-0.1331,-39.35,28.9,0.0516,1,8,-0.1283,-0.0268,-0.98,0.23,0.0875,0.1313,-34.06,-23.45,0.2105,0.1573,-3.94
R00,54,0.540,1.0208,-0.2331,0.1301,-0.4845,0.9162,0.0465,-0.0185,-0.5363,1.1423,-0.1377,-39.17,30.8,0.0516,1,8,-0.1324,-0.0311,-1.00,0.24,0.0875,0.1313,-34.17,-23.17,0.2088,0.1574,-1.65
R00,55,0.550,1.0222,-0.2381,0.1460,-0.5008,0.9160,0.0411,-0.0166,-0.5493,1.1430,-0.1425,-38.97,32.8,0.0516,1,8,-0.1367,-0.0308,-1.01,0.24,0.0875,0.1313,-34.22,-22.89,0.2073,0.1561,0.00
R00,56,0.560,1.0238,-0.2432,0.1611,-0.5174,0.9159,0.0356,-0.0151,-0.5620,1.1439,-0.1474,-38.76,34.9,0.0516,1,8,-0.1411,-0.0291,-1.03,0.25,0.0847,0.1270,-34.22,-22.61,0.2056,0.1546,0.00
R00,57,0.570,1.0256,-0.2485,0.1752,-0.5345,0.9158,0.0300,-0.0153,-0.5752,1.1448,-0.1525,-38.54,37.2,0.0516,1,8,-0.1456,-0.0293,-1.05,0.25,0.0847,0.1270,-34.18,-22.31,0.2039,0.1533,0.00
R00,58,0.580,1.0275,-0.2539,0.1882,-0.5518,0.9156,0.0242,-0.0171,-0.5888,1.1459,-0.1577,-38.31,39.5,0.0516,1,8,-0.1503,-0.0302,-1.07,0.25,0.0847,0.1270,-34.10,-22.01,0.2021,0.1520,0.00
R00,59,0.590,1.0295,-0.2596,0.2000,-0.5696,0.9154,0.0183,-0.0231,-0.6021,1.1470,-0.1630,-38.06,41.8,0.0516,1,8,-0.1551,-0.0312,-1.09,0.26,0.0815,0.1222,-33.98,-21.71,0.2002,0.1506,-2.29
R00,60,0.600,1.0316,-0.2654,0.2102,-0.5874,0.9151,0.0122,-0.0309,-0.6152,1.1481,-0.1684,-37.79,44.2,0.0516,1,8,-0.1600,-0.0354,-1.11,0.26,0.0815,0.1222,-33.83,-21.40,0.1981,0.1492,-3.30
